40000,40000,40000
50637.7101318598,50637.7101318598,50637.7101318598
64105.2984315566,64105.2984315566,64105.2984315566
81152.5303074497,81152.5303074497,81152.5303074497
102734.610119434,102734.610119434,102734.610119434
130055.142518697,130055.142518697,130055.142518697
164637.369565754,164637.369565754,164637.369565754
208352.051312323,208352.051312323,208352.051312323
262843.448614365,262843.448614365,262843.448614365
322613.437313895,322613.437313895,322613.437313895
357259.359984934,357259.359984934,357259.359984934
363880.049722888,363880.049722888,363880.049722888
364581.206080279,364581.206080279,364581.206080279
364648.30905769,364648.30905769,364648.30905769
364654.667979859,364654.667979859,364654.667979859
