Parameter,ST
rS,0.478256450943789
KS,-0.00257898511980792
IC50S,0.310769400799121
nS,-0.00206731899726037
alphaS,0.0991810650821877
rR,0.0567873993100948
KR,0.000200289006851944
IC50R,0.00443241496145358
nR,0.0130108394849872
alphaR,0.00189344144350942
delta,-0.000683635311130359
gamma,1.04808254754611e-05
S0,0.280638883956381
R0,0.0512788020163495
