Parameter,ST
rS,0.713466146487972
IC50S,0.366915400146041
nS,0.0305914521280128
alphaS,0.122168616497279
rR,0.0336855416708456
IC50R,0.00315893551615412
nR,0.0136055520927409
alphaR,0.000634081158989654
K,0.0508152033868463
S0,0.117608020352898
R0,0.0118365591718818
