Parameter,S1
rS,0.377507302704871
IC50S,0.123519822230918
nS,0.00308762094386599
alphaS,0.0397515958354866
rR,0.0162694569031902
IC50R,0.00060690922008326
nR,0.00340035505565653
alphaR,7.52630385374139e-05
K,0.00682137455533681
S0,0.0320409528677762
R0,0.00321029812338225
