time,S,R,T
0,22500,7500,30000
0.2,25178.3265090609,8470.57180571006,33648.8983147709
0.4,28048.2225784159,9549.78295022417,37598.0055286401
0.6,31112.6185021974,10750.7400388458,41863.3585410432
0.8,34368.0135665978,12086.6670926404,46454.6806592383
1,37804.4138596347,13570.3498406879,51374.7637003226
1.2,41403.0332774818,15213.9394927478,56616.9727702296
1.4,45152.0059066502,17030.0610815827,62182.0669882329
1.6,49017.6959131221,19032.7528918776,68050.4488049996
1.8,52981.953971667,21234.8714729898,74216.8254446568
2,57000.0957219843,23650.5787380921,80650.6744600764
2.2,61045.0405084963,26293.2177501257,87338.258258622
2.4,65065.8082164374,29176.211414857,94242.0196312944
2.6,69026.6573682737,32313.0315700502,101339.688938324
2.8,72875.0210384337,35715.9787543948,108590.999792829
3,76568.6860304609,39398.0123435454,115966.698374006
3.2,80059.1013822482,43368.1923214099,123427.293703658
3.4,83302.5243618455,47640.4322718366,130942.956633682
3.6,86253.5817527295,52226.9999090777,138480.581661807
3.8,88882.5974829296,57133.9917053656,146016.589188295
4,91151.0611114975,62370.9773142409,153522.038425738
4.2,93013.501342429,67950.2630093394,160963.764351768
4.4,94447.4035569341,73879.4143616266,168326.817918561
4.6,95474.5297229193,80158.8706131712,175633.40033609
4.8,96040.4050853829,86801.3413277173,182841.7464131
5,96118.4751915125,93815.0422886355,189933.517480148
5.2,95778.6492442026,101190.052180205,196968.701424408
5.4,94990.3233882685,108935.348154537,203925.671542805
5.6,93738.6883666209,117056.937662992,210795.626029613
5.8,92061.7309792878,125544.558366763,217606.289346051
6,90013.6039958622,134382.622682217,224396.22667808
6.2,87576.6752204096,143579.189768007,231155.864988416
6.4,84767.7239707721,153130.015235997,237897.739206769
6.6,81674.4123484377,162992.747246217,244667.159594654
6.8,78313.7819550259,173165.942130712,251479.724085738
7,74732.3680300345,183631.42905617,258363.797086205
7.2,70980.1958350543,194367.64015887,265347.835993924
7.4,67067.4368788524,205322.769681787,272390.206560639
7.6,63062.0529094785,216475.240535468,279537.293444946
7.8,59016.4995223496,227788.315117931,286804.814640281
8,54985.4690799535,239221.088899401,294206.557979354
8.2,50944.0491396081,250688.141891677,301632.191031285
8.4,46966.324286634,262172.412701773,309138.736988407
8.6,43092.6475817008,273631.921190921,316724.568772622
8.8,39360.6329295953,285021.856314293,324382.489243888
9,35759.4843903368,296247.375656507,332006.860046844
9.2,32335.7210617123,307272.87165217,339608.592713883
9.4,29113.143362147,318044.883694353,347158.0270565
9.6,26075.5868898691,328517.220719645,354592.807609515
9.8,23249.6584189318,338635.91164905,361885.570067981
10,20629.304024047,348375.085397357,369004.389421404
10.2,18215.7853461343,357699.490879525,375915.276225659
10.4,16012.3663033697,366576.004881211,382588.371184581
10.6,14005.3840083628,375004.560130315,389009.944138678
10.8,12198.3164778416,382948.24906287,395146.565540711
11,10573.1725989173,390424.934001098,400998.106600015
11.2,9125.49117195103,397416.14146709,406541.632639041
11.4,7843.61292154558,403927.085950933,411770.698872479
11.6,6712.16394347558,409975.606657184,416687.77060066
11.8,5722.22899981166,415557.828058371,421280.057058182
12,4858.03762483323,420708.309288374,425566.346913207
12.2,4108.46841129459,425430.367113916,429538.835525211
12.4,3461.7835764582,429751.772741981,433213.556318439
12.6,2905.99308509145,433694.988661587,436600.981746679
12.8,2429.1555074807,437276.37512608,439705.53063356
13,2023.84016568219,440525.844836382,442549.685002065
13.2,1678.80309025126,443464.22602174,445143.029111991
13.4,1388.54717383914,446115.625071216,447504.172245056
13.6,1143.5268699614,448503.422419972,449646.949289933
13.8,938.658948928642,450648.3773979,451587.036346829
14,767.542668470185,452571.987348343,453339.530016813
14.2,625.709741245109,454292.882282023,454918.592023268
14.4,508.438633089835,455829.77863799,456338.217271079
14.6,411.724299770787,457200.117923244,457611.842223015
14.8,332.579441905116,458419.12108459,458751.700526495
15,267.551901458425,459502.918155768,459770.470057227
15.2,214.508889115816,460464.589032742,460679.097921858
15.4,171.468582065459,461316.436314827,461487.904896893
15.6,136.650691570721,462069.992413014,462206.643104585
15.8,108.567617322287,462735.723763699,462844.291381021
16,85.9887873416351,463323.035109611,463409.023896953
16.2,67.9061858056584,463840.371882773,463908.278068578
16.4,53.4349268955794,464295.567247318,464349.002174214
16.6,41.9105050913939,464695.442445559,464737.35295065
16.8,32.760348638506,465046.179815812,465078.940164451
17,25.523087059354,465353.300650483,465378.823737543
17.2,19.8323964904651,465621.693413803,465641.525810294
17.4,15.3648136623295,465855.812479755,465871.177293417
17.6,11.8691882767332,466059.596548923,466071.4657372
17.8,9.14228825673274,466236.550637117,466245.692925374
18,7.01849063958684,466389.81195732,466396.830447959
18.2,5.37248162031499,466522.1302931,466527.50277472
18.4,4.1009939692264,466635.962249759,466640.063243728
18.6,3.12123071850951,466733.485830849,466736.607061567
18.8,2.36831735249413,466816.62559979,466818.993917143
19,1.79120641174054,466887.084839742,466888.876046153
19.2,1.35060058078289,466946.363138884,466947.713739465
19.4,1.01545599011118,466995.788235734,466996.803691724
19.6,0.761286856285793,467036.534171065,467037.295457921
19.8,0.569067124555231,467069.636685929,467070.205753053
20,0.424022814594174,467096.010353789,467096.434376604
20.2,0.315004290630373,467116.458003155,467116.773007446
20.4,0.233327592704131,467131.689267488,467131.922595081
20.6,0.172353334165452,467142.329186141,467142.501539475
20.8,0.126986960791256,467148.928475288,467149.055462249
21,0.0932836859165155,467151.973451058,467152.066734744
21.2,0.0682987434188417,467151.891613281,467151.959912024
21.4,0.0498457840565793,467149.058638911,467149.108484695
21.6,0.0362748088188592,467143.805150207,467143.841425015
21.8,0.0263272318232717,467136.422368313,467136.448695545
22,0.0190522337953092,467127.166704798,467127.185757031
22.2,0.0137443061587312,467116.263746476,467116.277490782
22.4,0.00988413177566381,467103.911896865,467103.921780997
22.6,0.00709021481658253,467090.285491661,467090.292581876
22.8,0.00507591925051808,467075.538038614,467075.543114533
23,0.00362248705377156,467059.804938563,467059.80856105
23.2,0.00257513510153445,467043.205082688,467043.207657823
23.4,0.00182500592685638,467025.842858377,467025.844683383
23.6,0.00129071804585853,467007.810096939,467007.811387657
23.8,0.000910503479337279,466989.18765126,466989.188561763
24,0.000639887704142019,466970.046644837,466970.047284725
24.2,0.000448050471513182,466950.449595843,466950.450043894
24.4,0.000313001149234487,466930.451461464,466930.451774465
24.6,0.000218301052511653,466910.100588919,466910.10080722
24.8,0.000151808409681833,466889.439513814,466889.439665622
25,0.000105108831358658,466868.505644763,466868.505749872
