time,S,R,T
0,22500,7500,30000
0.2,25224.2492455457,8470.54812369361,33694.7973692393
0.4,28231.6082830833,9549.51734890667,37781.12563199
0.6,31553.1685268044,10749.6467085326,42302.815235337
0.8,35218.8577794158,12083.486248623,47302.3440280388
1,39256.0559100422,13562.8281006026,52818.8840106448
1.2,43684.8892814875,15197.0445214844,58881.9338029719
1.4,48532.8400100109,16997.969158165,65530.809168176
1.6,53819.7334208354,18974.9725431439,72794.7059639793
1.8,59559.9816949321,21135.7433618953,80695.7250568274
2,65778.0978384495,23491.1302588752,89269.2280973247
2.2,72466.33687178,26040.5624897752,98506.8993615552
2.4,79642.2868178122,28792.5636610836,108434.850478896
2.6,87302.2350540219,31747.4940945062,119049.729148528
2.8,95415.1426560954,34895.1144224152,130310.257078511
3,103990.831292042,38241.0917709667,142231.923063008
3.2,112962.855390398,41760.0941211925,154722.949511591
3.4,122312.214915657,45446.2509943589,167758.465910016
3.6,132003.369166062,49286.5632785272,181289.932444589
3.8,141948.349936746,53245.6288400976,195193.978776844
4,152095.22297586,57303.7016534184,209398.924629279
4.2,162373.320877219,61432.2451732267,223805.566050445
4.4,172708.142548707,65600.2271782722,238308.36972698
4.6,183010.856499436,69771.4935727113,252782.350072147
4.8,193210.142852363,73915.9796515388,267126.122503902
5,203236.933965107,78004.0587147075,281240.992679814
5.2,212997.946068382,81996.1598539625,294994.105922344
5.4,222447.921577234,85872.4306969906,308320.352274225
5.6,231534.462917277,89609.6488088675,321144.111726144
5.8,240190.489416448,93178.0293917314,333368.518808179
6,248404.503151793,96572.0805814625,344976.583733255
6.2,256148.284308706,99778.3610115232,355926.645320229
6.4,263399.59529884,102785.678659328,366185.273958168
6.6,270163.130193361,105595.885866548,375759.016059909
6.8,276441.955138316,108208.627440941,384650.582579257
7,282248.783630514,110628.070076672,392876.853707186
7.2,287562.038389267,112845.336936223,400407.375325491
7.4,292426.6183124,114877.786892623,407304.405205023
7.6,296875.145475009,116738.284457132,413613.429932141
7.8,300948.601152031,118443.252125899,419391.85327793
8,304617.54915697,119980.334525105,424597.883682074
8.2,307921.850507181,121365.747796736,429287.598303917
8.4,310913.428603073,122620.786132019,433534.214735092
8.6,313634.646606592,123762.946224532,437397.592831124
8.8,316089.102423271,124793.518892774,440882.621316045
9,318265.652613871,125707.682715269,443973.33532914
9.2,320223.70465461,126530.339533338,446754.044187948
9.4,321992.939741789,127273.983034917,449266.922776707
9.6,323596.047856517,127948.134634838,451544.182491354
9.8,325009.548463878,128542.309984207,453551.858448086
10,326274.895369536,129074.322628005,455349.217997541
10.2,327408.2546017,129551.059272424,456959.313874124
10.4,328424.621631674,129978.964924767,458403.58655644
10.6,329328.255418463,130359.180500092,459687.435918555
10.8,330131.362415655,130697.039937497,460828.402353152
11,330843.343409456,130996.604347413,461839.947756869
11.2,331471.054596985,131260.794718201,462731.849315186
11.4,332027.752665195,131495.130111926,463522.882777121
11.6,332525.116235764,131704.482363761,464229.598599525
