time,S,R,T
0,10000,30000,40000
0.2,11167.62812347,33781.6743575275,44949.3024809975
0.4,12426.1465732773,37959.6686479646,50385.8152212419
0.6,13778.8739777447,42574.3115951867,56353.1855729314
0.8,15226.4148409045,47661.062856747,62887.4776976515
1,16766.8542689405,53252.4106009212,70019.2648698617
1.2,18394.8110842273,59370.0891479745,77764.9002322018
1.4,20104.2943956561,66043.3665308013,86147.6609264574
1.6,21885.4081506657,73287.1970882566,95172.6052389222
1.8,23726.6589433023,81116.0555016691,104842.714444971
2,25613.0770175716,89533.1931061196,115146.270123691
2.2,27526.899430192,98536.088198363,126062.987628555
2.4,29448.6037871712,108110.644989357,137559.248776528
2.6,31355.1775738475,118232.647886736,149587.825460584
2.8,33223.7705870206,128868.744768329,162092.515355349
3,35028.2299729083,139971.441274456,174999.671247364
3.2,36744.3883206502,151475.604729994,188219.993050644
3.4,38346.9772561904,163314.372732949,201661.34998914
3.6,39812.3946045464,175451.810001279,215264.204605825
3.8,41122.954384831,187780.060381656,228903.014766487
4,42257.0483433821,200225.25617504,242482.304518422
4.2,43191.2515728073,212729.271895082,255920.523467889
4.4,43929.4308275669,225186.541258936,269115.972086502
4.6,44452.0059266037,237524.112492464,281976.118419068
4.8,44742.4269843162,249666.027982391,294408.454966707
5,44835.5500529674,261570.260462035,306405.810515003
5.2,44710.8450785685,273153.526441283,317864.371519852
5.4,44369.4258260722,284354.733340307,328724.159166379
5.6,43849.8659627674,295190.073949395,339039.939912162
5.8,43144.4335005018,305580.205579667,348724.639080169
6,42264.776378315,315492.466199046,357757.242577361
6.2,41241.1939122398,324956.448554737,366197.642466977
6.4,40088.147904742,333943.520728866,374031.668633608
6.6,38827.2353338704,342454.463121996,381281.698455866
6.8,37464.8765005035,350496.200470838,387961.076971341
7,36027.3169371882,358085.705888177,394113.022825365
7.2,34536.0652324357,365247.261249014,399783.326481449
7.4,32997.6699343287,371977.582644691,404975.25257902
7.6,31432.7135691674,378309.607332054,409742.320901222
7.8,29858.7192464484,384274.888200652,414133.6074471
8,28283.6002994474,389877.436854148,418161.037153595
8.2,26718.5018386261,395138.199127189,421856.700965815
8.4,25175.6647140584,400087.513620153,425263.178334212
8.6,23663.0213070055,404741.468134458,428404.489441464
8.8,22186.9752934134,409115.081857453,431302.057150866
9,20754.0801076146,413232.865323944,433986.945431558
9.2,19368.9867338359,417108.056584288,436477.043318124
9.4,18035.1117261578,420743.614226926,438778.725953083
9.6,16754.3763887875,424156.011268035,440910.387656823
9.8,15528.9299493508,427355.750850928,442884.680800279
10,14364.5802267818,430355.559803349,444720.14003013
10.2,13258.7652415776,433161.059861778,446419.825103356
10.4,12210.6218423835,435778.576527067,447989.19836945
10.6,11219.6309702029,438216.899432909,449436.530403112
10.8,10290.6485770315,440501.602838395,450792.251415427
11,9419.00423694656,442632.628875847,452051.633112793
11.2,8602.58109298805,444618.673077971,453221.254170959
11.4,7839.18673229546,446468.470174141,454307.656906437
11.6,7130.44172571752,448193.583318769,455324.025044487
11.8,6472.58375904035,449801.807944516,456274.391703556
12,5863.22797440538,451302.020918519,457165.248892924
12.2,5301.09121997991,452698.435676823,457999.526896803
12.4,4783.82555663597,453997.600775011,458781.426331647
12.6,4308.70985974342,455206.165766308,459514.875626051
12.8,3873.44726122144,456329.193330978,460202.640592199
13,3476.0280806377,457370.775301825,460846.803382463
13.2,3113.56594834746,458335.144140796,461448.710089143
13.4,2783.42852044105,459225.850779922,462009.279300363
13.6,2484.22137488936,460049.635976146,462533.857351035
13.8,2213.09413599211,460808.828765241,463021.922901234
14,1967.65260382082,461506.742085998,463474.394689819
14.2,1746.26850955079,462148.347956239,463894.61646579
14.4,1547.07974669895,462737.712396937,464284.792143636
14.6,1367.97467555478,463277.955162569,464645.929838124
14.8,1207.23926953384,463772.579218673,464979.818488207
15,1063.53049464181,464225.030273754,465288.560768396
15.2,935.191050614457,464638.536227039,465573.727277653
15.4,820.818134007714,465016.240426427,465837.058560435
15.6,719.113594466548,465360.231795887,466079.345390354
15.8,628.8845224556,465673.36959253,466302.254114986
16,549.042850735304,465958.046089368,466507.088940103
16.2,478.52170972302,466216.428268658,466694.949978381
16.4,416.323862008963,466450.486519061,466866.81038107
16.6,361.603478834041,466662.03141312,467023.634891954
16.8,313.519009076184,466853.03849669,467166.557505766
17,271.351783234444,467025.050838531,467296.402621766
17.2,234.441983223128,467179.60488794,467414.046871163
17.4,202.176617783535,467318.325012771,467520.501630555
17.6,174.047359388312,467442.50355727,467616.550916659
17.8,149.556657799881,467553.444218564,467703.000876364
18,128.267814839856,467652.354900729,467780.622715569
18.2,109.839305357938,467740.316122904,467850.155428262
18.4,93.8610879883245,467818.342324855,467912.203412843
18.6,80.0703808900585,467887.337046957,467967.407427847
18.8,68.2004668139374,467948.135282279,468016.335749093
19,57.9687601577459,468001.535347451,468059.504107609
19.2,49.1960173978284,468048.191156528,468097.387173925
19.4,41.6853073277716,468088.758503189,468130.443810517
19.6,35.2628586607139,468123.836652033,468159.099510694
19.8,29.7869176500992,468153.951016187,468183.737933837
20,25.1165390189664,468179.615569402,468204.732108421
20.2,21.1448240768781,468201.265554415,468222.410378492
20.4,17.766685726044,468219.321597687,468237.088283413
20.6,14.903999410859,468234.140572263,468249.044571674
20.8,12.4757261575777,468246.068591283,468258.544317441
21,10.4271973553385,468255.391767325,468265.81896468
21.2,8.70000333536462,468262.387583642,468271.087586977
21.4,7.24849824693972,468267.296319426,468274.544817673
21.6,6.0285496642846,468270.345433275,468276.37398294
21.8,5.00609417808287,468271.729495493,468276.735589671
22,4.14930693683712,468271.632107869,468275.781414806
22.2,3.43319062141246,468270.21102767,468273.644218291
22.4,2.83511985368785,468267.612998909,468270.448118763
22.6,2.33727753915026,468263.964930231,468266.30220777
22.8,1.92333158490512,468259.383777709,468261.307109294
23,1.58013540773238,468253.972140316,468255.552275724
23.2,1.29609695650491,468247.822444947,468249.118541904
23.4,1.06124744294363,468241.018213886,468242.079461329
23.6,0.867653897435573,468233.631735592,468234.49938949
23.8,0.707946861057658,468225.73070841,468226.438655271
24,0.576766423091817,468217.371729984,468217.948496407
24.2,0.468896439082017,468208.608639356,468209.077535795
24.4,0.380640988326315,468199.486322105,468199.866963093
24.6,0.308359473812111,468190.047131169,468190.355490643
24.8,0.249504495372279,468180.326485499,468180.575989994
25,0.201571413451556,468170.357442318,468170.559013731
