40000,40000,40000
50672.3176770099,50672.3176770099,50672.3176770099
64192.8747830688,64192.8747830688,64192.8747830688
81319.0162742036,81319.0162742036,81319.0162742036
103015.734348062,103015.734348062,103015.734348062
130500.702200052,130500.702200052,130500.702200052
165309.627534103,165309.627534103,165309.627534103
209283.933331142,209283.933331142,209283.933331142
263423.072747085,263423.072747085,263423.072747085
317158.883759441,317158.883759441,317158.883759441
340429.244904461,340429.244904461,340429.244904461
