40000,40000,40000
53814.0429193942,53814.0429193942,53814.0429193942
71522.7265670576,71522.7265670576,71522.7265670576
93601.2987798675,93601.2987798675,93601.2987798675
120204.478295261,120204.478295261,120204.478295261
150964.427186906,150964.427186906,150964.427186906
184881.2615088,184881.2615088,184881.2615088
220375.977849143,220375.977849143,220375.977849143
255547.51370721,255547.51370721,255547.51370721
288564.055437942,288564.055437942,288564.055437942
318019.920872046,318019.920872046,318019.920872046
343129.076149325,343129.076149325,343129.076149325
363716.767555966,363716.767555966,363716.767555966
380064.506220167,380064.506220167,380064.506220167
392718.916173047,392718.916173047,392718.916173047
