10000,10000,10000
15654.352354657,15654.352354657,15654.352354657
24504.2725584274,24504.2725584274,24504.2725584274
38352.8357755331,38352.8357755331,38352.8357755331
59992.9261035669,59992.9261035669,59992.9261035669
93607.1594763364,93607.1594763364,93607.1594763364
144514.999842566,144514.999842566,144514.999842566
214326.915812011,214326.915812011,214326.915812011
285012.871438811,285012.871438811,285012.871438811
325830.606772777,325830.606772777,325830.606772777
339549.246274518,339549.246274518,339549.246274518
