10000,10000,10000
16775.2964844263,16775.2964844263,16775.2964844263
27830.7648693536,27830.7648693536,27830.7648693536
45355.8323000021,45355.8323000021,45355.8323000021
71902.0260402482,71902.0260402482,71902.0260402482
109465.498758904,109465.498758904,109465.498758904
157799.487995792,157799.487995792,157799.487995792
212920.434216568,212920.434216568,212920.434216568
267757.552372263,267757.552372263,267757.552372263
315381.220973066,315381.220973066,315381.220973066
352096.74162676,352096.74162676,352096.74162676
