10000,10000,10000
18803.3958293792,18803.3958293792,18803.3958293792
34840.9691019685,34840.9691019685,34840.9691019685
62885.9786723679,62885.9786723679,62885.9786723679
108589.911455246,108589.911455246,108589.911455246
175148.885695194,175148.885695194,175148.885695194
257757.812991685,257757.812991685,257757.812991685
342132.038897199,342132.038897199,342132.038897199
412783.593390577,412783.593390577,412783.593390577
462749.428110048,462749.428110048,462749.428110048
494016.420533846,494016.420533846,494016.420533846
512109.279362478,512109.279362478,512109.279362478
522107.277558921,522107.277558921,522107.277558921
527490.400971941,527490.400971941,527490.400971941
530352.167142414,530352.167142414,530352.167142414
