40000,40000,40000
56260.163371341,56260.163371341,56260.163371341
78432.2984261269,78432.2984261269,78432.2984261269
108043.536730321,108043.536730321,108043.536730321
146509.946492892,146509.946492892,146509.946492892
194720.470420086,194720.470420086,194720.470420086
252501.226439644,252501.226439644,252501.226439644
318156.580612408,318156.580612408,318156.580612408
388384.950042379,388384.950042379,388384.950042379
458815.825786785,458815.825786785,458815.825786785
525027.619717169,525027.619717169,525027.619717169
