10000,10000,10000
18042.733981034,18042.733981034,18042.733981034
32402.019340522,32402.019340522,32402.019340522
57584.9949800714,57584.9949800714,57584.9949800714
100047.663673124,100047.663673124,100047.663673124
166067.40633156,166067.40633156,166067.40633156
254394.413739639,254394.413739639,254394.413739639
348128.557968489,348128.557968489,348128.557968489
423452.43585431,423452.43585431,423452.43585431
470513.252596791,470513.252596791,470513.252596791
495203.844159453,495203.844159453,495203.844159453
