0,20000,20000,20000
1,32430.0788350074,32430.0788350074,32430.0788350074
2,50912.0193165429,50912.0193165429,50912.0193165429
3,76447.4827878684,76447.4827878684,76447.4827878684
4,108758.614289294,108758.614289294,108758.614289294
5,146194.845083241,146194.845083241,146194.845083241
6,186619.854639083,186619.854639083,186619.854639083
7,228451.107405686,228451.107405686,228451.107405686
8,270901.904910467,270901.904910467,270901.904910467
9,313498.09719383,313498.09719383,313498.09719383
10,355509.970441191,355509.970441191,355509.970441191
