0,10000,10000,10000
1,16553.0331436584,16553.0331436584,16553.0331436584
2,26835.3033634961,26835.3033634961,26835.3033634961
3,42153.7523672383,42153.7523672383,42153.7523672383
4,63446.3535133642,63446.3535133642,63446.3535133642
5,90795.2897955909,90795.2897955909,90795.2897955909
6,123383.737338923,123383.737338923,123383.737338923
7,159905.172075595,159905.172075595,159905.172075595
8,198922.916982368,198922.916982368,198922.916982368
9,238967.173753652,238967.173753652,238967.173753652
10,278560.21569203,278560.21569203,278560.21569203
