0,30000,30000,30000
1,53655.5309929959,53655.5309929959,53655.5309929959
2,91831.2452801067,91831.2452801067,91831.2452801067
3,147110.661176562,147110.661176562,147110.661176562
4,215915.267682111,215915.267682111,215915.267682111
5,287221.312139699,287221.312139699,287221.312139699
6,348470.960381333,348470.960381333,348470.960381333
7,393198.213496487,393198.213496487,393198.213496487
8,422147.872524242,422147.872524242,422147.872524242
9,439453.144991319,439453.144991319,439453.144991319
10,449310.580593615,449310.580593615,449310.580593615
