0,10000,10000,10000
1,17727.8282384511,17727.8282384511,17727.8282384511
2,30040.1999575312,30040.1999575312,30040.1999575312
3,47614.8247618583,47614.8247618583,47614.8247618583
4,68982.1835909215,68982.1835909215,68982.1835909215
5,89818.3454677777,89818.3454677777,89818.3454677777
6,104815.224859424,104815.224859424,104815.224859424
7,111031.773792959,111031.773792959,111031.773792959
8,109131.998766391,109131.998766391,109131.998766391
9,101819.250522201,101819.250522201,101819.250522201
10,91866.720805082,91866.720805082,91866.720805082
