0,20000,20000,20000
1,35426.112166965,35426.112166965,35426.112166965
2,59602.8540707526,59602.8540707526,59602.8540707526
3,93062.0880631566,93062.0880631566,93062.0880631566
4,132273.28786984,132273.28786984,132273.28786984
5,170257.143397224,170257.143397224,170257.143397224
6,200881.074934395,200881.074934395,200881.074934395
7,222137.09375184,222137.09375184,222137.09375184
8,235408.164518467,235408.164518467,235408.164518467
9,243155.004137843,243155.004137843,243155.004137843
10,247500.682062584,247500.682062584,247500.682062584
