0,15000,15000,15000
1,31505.8299265475,31505.8299265475,31505.8299265475
2,64332.9024606888,64332.9024606888,64332.9024606888
3,124789.692631031,124789.692631031,124789.692631031
4,222391.727919435,222391.727919435,222391.727919435
5,351650.892039816,351650.892039816,351650.892039816
6,485202.787356478,485202.787356478,485202.787356478
7,592579.344936388,592579.344936388,592579.344936388
8,662997.098693783,662997.098693783,662997.098693783
9,703259.257250985,703259.257250985,703259.257250985
10,724503.324662343,724503.324662343,724503.324662343
