0,15000,15000,15000
1,27424.2128357515,27424.2128357515,27424.2128357515
2,48647.6649213193,48647.6649213193,48647.6649213193
3,82547.1592048836,82547.1592048836,82547.1592048836
4,131733.712273051,131733.712273051,131733.712273051
5,195015.875796722,195015.875796722,195015.875796722
6,266932.649925858,266932.649925858,266932.649925858
7,340965.480286998,340965.480286998,340965.480286998
8,413064.03202775,413064.03202775,413064.03202775
9,482033.540329286,482033.540329286,482033.540329286
10,547809.609272339,547809.609272339,547809.609272339
