Parameter,S1
rS,0.783824973388766
IC50S,0
nS,0
alphaS,0
rR,0.00475941772498053
IC50R,0
nR,0
alphaR,0
K,0.0378227292028029
S0,0.0619259141481076
R0,0.000668998804385416
