time,S,R,T
12.2,191439.078648292,578823.390184302,770262.468832594
12.4,180252.32890324,592403.981138921,772656.310042161
12.6,169362.521992493,605976.177718679,775338.699711171
12.8,158788.044316138,619540.701835336,778328.746151474
13,148551.131305762,633070.459309111,781621.590614873
13.2,138674.018392951,646538.355960222,785212.374353173
13.4,129164.19536256,659898.002198129,789062.197560689
13.6,119994.962488723,673058.269760266,793053.232248989
13.8,111215.556867108,686027.39748473,797242.954351839
14,102842.741924001,698771.130801159,801613.872725159
14.2,94893.2810856833,711255.215139187,806148.496224871
14.4,87383.9377784407,723445.395928454,810829.333706894
14.6,80261.2764228281,735307.360168395,815568.636591223
14.8,73538.3325675141,746806.850185746,820345.18275326
15,67230.0542594927,757909.609899111,825139.664158603
15.2,61339.4292628182,768581.646468029,829921.075730847
15.4,55808.514054897,778852.5403781,834661.054432997
15.6,50659.0566049351,788668.725123104,839327.781728039
15.8,45885.3671874764,798005.261616414,843890.628803891
16,41475.0158350889,806851.143035227,848326.158870316
16.2,37387.0725855514,815254.27282255,852641.345408101
16.4,33626.5116144898,823167.669317643,856794.180932133
16.6,30181.3874732492,830579.32418419,860760.711657439
16.8,27031.7427225847,837505.643611589,864537.386334173
17,24151.1328533376,843986.040183568,868137.173036905
17.2,21531.8825305229,849993.361605101,871525.244135623
17.4,19158.5429775039,855528.024093032,874686.567070536
17.6,17011.9548695577,860624.748220191,877636.703089749
17.8,15074.2953814921,865305.898499166,880380.193880658
18,13330.7270376876,869566.239613064,882896.966650751
18.2,11764.7888795845,873415.545493063,885180.334372647
18.4,10366.7713954526,876896.222687183,887262.994082636
18.6,9119.95899762248,880016.814395711,889136.773393333
18.8,8007.79806077248,882786.646651911,890794.444712683
19,7014.88024576798,885220.581144778,892235.461390546
19.2,6129.09299191716,887338.699095857,893467.792087774
19.4,5344.30807589468,889169.696442462,894514.004518357
19.6,4651.60999381855,890729.453592979,895381.063586797
19.8,4041.8834213556,892034.067634698,896075.951056054
20,3506.24036374214,893098.307137158,896604.5475009
20.2,3036.33184265556,893937.045431616,896973.377274272
20.4,2624.93924633725,894565.587964194,897190.527210532
20.6,2266.01409019916,894998.295652249,897264.309742448
20.8,1952.78650768746,895249.900328732,897202.68683642
21,1680.21598434241,895333.444782922,897013.660767264
21.2,1443.36299702345,895261.971642872,896705.334639895
21.4,1237.62904463175,895047.679847968,896285.3088926
21.6,1059.75069279295,894701.240171909,895760.990864702
21.8,905.584816191646,894234.157297178,895139.74211337
22,772.966220180201,893654.969090647,894427.935310827
22.2,658.254901783421,892974.47584347,893632.730745254
22.4,559.822025753002,892199.866666094,892759.688691847
22.6,475.253956185941,891339.646987383,891814.900943569
22.8,402.89337799664,890400.74273906,890803.636117057
23,341.085058285929,889389.930041985,889731.015100271
23.2,288.269503300722,888313.783218379,888602.052721679
23.4,243.382521488646,887177.555511406,887420.938032895
23.6,205.09056119449,885987.197254401,886192.287815595
23.8,172.62282939737,884747.105164866,884919.727994263
24,144.987081451891,883462.242169979,883607.229251431
24.2,121.601064845747,882136.355015075,882257.956079921
24.4,101.817666268903,880773.319912332,880875.137578601
24.6,85.1054498884044,879376.542160856,879461.647610745
24.8,71.0476546428147,877949.073938182,878020.121592825
25,59.232018191826,876493.782100758,876553.01411895
