time,S,R,T
0,25500,4500,30000
0.2,29672.5717605007,5092.99424198926,34765.56600249
0.4,34469.2440976124,5756.85765655906,40226.1017541714
0.6,39993.2333988994,6501.27399497799,46494.5073938773
0.8,46358.9024660894,7336.18852664814,53695.0909927376
1,53688.4865743592,8271.07697359227,61959.5635479515
1.2,62090.7071713368,9315.31136985297,71406.0185411897
1.4,71710.6200572144,10479.1991747682,82189.8192319826
1.6,82689.2996845657,11772.9426856892,94462.2423702549
1.8,95153.8001546606,13206.09804356,108359.898198221
2,109279.981166705,14787.780481035,124067.76164774
2.2,125198.287022645,16527.8695124621,141726.156535107
2.4,143040.703454222,18431.2006547056,161471.904108928
2.6,162942.672835543,20503.9805627309,183446.653398274
2.8,185022.933792272,22752.0005183686,207774.93431064
3,209293.660261175,25167.4256237175,234461.085884892
3.2,235889.874783506,27757.246534715,263647.121318221
3.4,264640.349958873,30499.7045068021,295140.054465675
3.6,295531.101295408,33387.21270865,328918.314004058
3.8,328623.22619268,36418.9512535293,365042.177446209
4,363328.260751909,39544.2947749997,402872.555526908
4.2,399574.71439388,42751.6347132124,442326.349107092
4.4,437261.238766834,46027.1090942784,483288.347861112
4.6,475512.275509808,49307.1950491026,524819.47055891
4.8,514231.92595727,52577.6931661191,566809.61912339
5,553077.767623176,55809.4711582996,608887.238781475
5.2,591350.59246572,58959.9493324039,650310.541798124
5.4,628766.301679128,62001.9530206589,690768.254699787
5.6,664932.42041035,64907.2133577998,729839.63376815
5.8,699566.932447217,67665.8917894371,767232.824236654
6,732241.737349623,70243.7752286555,802485.512578279
6.2,762812.49370841,72634.5116575885,835447.005365999
6.4,791559.547323603,74867.5317644826,866427.079088086
6.6,817928.836318392,76901.9618723167,894830.798190709
6.8,841686.018897502,78723.8668354614,920409.885732963
7,863374.075134873,80383.8312627252,943757.906397598
7.2,883114.820664656,81889.1905854788,965004.011250134
7.4,900684.712057003,83220.4557020981,983905.167759101
7.6,916128.872004668,84381.8496730088,1000510.72167768
7.8,930255.170716293,85448.9815653804,1015704.15228167
8,942588.061707535,86377.3446927521,1028965.40640029
8.2,953127.544978393,87166.9390551241,1040294.48403352
8.4,962241.07422341,87847.6266479581,1050088.70087137
8.6,970402.787757507,88457.9394452651,1058860.72720277
8.8,977279.47878941,88970.7986073529,1066250.27739676
9,983248.525067008,89415.4639271681,1072663.98899418
