time,S,R,T
19.4,390041.844709849,232678.626876683,622720.471586532
19.6,380046.805455907,241882.093795181,621928.899251088
19.8,369973.153934301,251432.290586299,621405.444520599
20,359904.420289906,261245.555826571,621149.976116476
20.2,349785.366581674,271391.81526565,621177.181847324
20.4,339619.516043287,281875.958354275,621495.474397562
20.6,329410.391908428,292702.874543181,622113.266451609
20.8,319161.51741078,303877.453283107,623038.970693887
21,308876.415784025,315404.58402479,624280.999808815
21.2,298558.610261846,327289.156218967,625847.766480813
21.4,288211.624077926,339536.059316375,627747.683394301
21.6,277907.204813412,352033.202300476,629940.407113888
21.8,267653.45267064,364777.626750219,632431.079420859
22,257431.561192412,377812.509586583,635244.070778996
22.2,247251.113231054,391132.350171626,638383.46340268
22.4,237121.69163889,404731.647867404,641853.339506294
22.6,227052.879268245,418604.902035974,645657.78130422
22.8,217054.258971446,432746.612039395,649800.87101084
23,207223.063716525,446913.714383608,654136.778100133
23.2,197519.28489251,461235.118859736,658754.403752246
23.4,187956.463880112,475694.595815943,663651.059696054
23.6,178549.036319938,490273.491839353,668822.528159291
23.8,169311.437852597,504953.153517092,674264.591369689
24,160258.104118698,519714.927436283,679973.031554981
24.2,151409.344797823,534501.143928747,685910.48872657
24.4,142794.981359748,549190.954577171,691985.935936919
24.6,134423.305819798,563806.51285703,698229.818676829
24.8,126311.437119545,578311.342464613,704622.779584158
25,118476.494200558,592668.967096206,711145.461296765
