time,S,R,T
0,22500,7500,30000
0.2,26168.1510150511,8487.81760302635,34655.9686180775
0.4,30354.7974434397,9592.2041886039,39947.0016320436
0.6,35136.8030861518,10828.705818255,45965.5089044068
0.8,40592.7082241354,12212.786161553,52805.4943856884
1,46805.963708007,13760.345006001,60566.3087140081
1.2,53852.6296079635,15486.2314368599,69338.8610448235
1.4,61815.3990998184,17406.4181830011,79221.8172828194
1.6,70784.7310771565,19538.274184511,90323.0052616675
1.8,80839.3019138946,21897.0505275292,102736.352441424
2,92053.0381606869,24498.2321628845,116551.270323571
2.2,104503.969441722,27357.5282641578,131861.49770588
2.4,118266.33540687,30489.9411568959,148756.276563765
2.6,133345.265352328,33901.6193531464,167246.884705474
2.8,149822.26736726,37608.6372006912,187430.904567951
3,167681.18271514,41613.7590044865,209294.941719627
3.2,186860.952191331,45913.5414642002,232774.493655531
3.4,207411.577763068,50519.8957723772,257931.473535445
3.6,229038.520266688,55400.184014213,284438.704280901
3.8,251798.309122675,60560.6856951469,312358.994817822
4,275397.542128369,65968.4679119358,341366.010040305
4.2,299685.995046069,71606.5531624393,371292.548208508
4.4,324586.912206942,77463.9716708497,402050.883877792
4.6,349649.166363016,83484.4910049372,433133.657367953
4.8,374696.088182406,89643.7435965125,464339.831778919
5,399470.086062767,95907.8794441592,495377.965506927
5.2,423589.142370874,102224.110799486,525813.25317036
5.4,447011.632599843,108586.625621157,555598.258221
5.6,469240.940466129,114924.841756222,584165.782222351
5.8,490393.675175817,121254.315249372,611647.990425189
6,510151.305711882,127526.579148416,637677.884860298
6.2,528340.880068805,133717.589889384,662058.469958189
6.4,544835.092542414,139807.549551752,684642.642094166
6.6,559740.690235282,145806.659884151,705547.350119433
6.8,572823.805114092,151681.464361986,724505.269476078
7,584043.87854125,157424.22671522,741468.105256471
7.2,593738.617195091,163080.324712052,756818.941907143
7.4,601726.588239355,168622.241263905,770348.82950326
7.6,608039.656787054,174053.05632974,782092.713116794
7.8,612986.85506679,179419.338187803,792406.193254593
8,616515.007527214,184710.823671712,801225.831198926
8.2,618701.895845213,189938.374049457,808640.26989467
8.4,619750.661071852,195138.825958721,814889.487030573
8.6,619707.318330107,200316.458407595,820023.776737703
8.8,618666.736805648,205486.242605723,824152.979411372
9,616684.861046964,210665.079903364,827349.940950328
9.2,613873.519263869,215867.100569727,829740.619833596
9.4,610324.318500607,221107.437572977,831431.756073585
9.6,606128.865801423,226401.223881276,832530.0896827
9.8,601251.149863351,231756.146516419,833007.29637977
10,595811.047707683,237188.987870318,833000.035578001
10.2,589890.804658633,242714.334697629,832605.139356262
10.4,583564.114301282,248346.274798173,831910.389099455
10.6,576777.039513656,254085.517387249,830862.556900905
10.8,569591.274827172,259944.892492492,829536.167319664
11,562086.44991714,265939.110150227,828025.560067367
11.2,554313.653534203,272079.888662409,826393.542196611
11.4,546242.602431598,278367.028709166,824609.631140763
11.6,537878.245789348,284805.4910595,822683.736848848
11.8,529289.801443063,291409.649174211,820699.450617274
12,520509.368595795,298188.440174332,818697.808770127
12.2,511532.321186758,305143.066489064,816675.387675822
12.4,502340.869301288,312271.958114073,814612.827415362
12.6,492985.942508222,319588.018025532,812573.960533754
12.8,483487.54845973,327097.636748205,810585.185207936
13,473849.534966518,334800.861624096,808650.396590614
13.2,464050.12261156,342687.680602633,806737.803214194
13.4,454132.863406506,350773.72601801,804906.589424517
13.6,444112.642356311,359063.377614898,803176.019971209
13.8,434004.344465928,367561.015137967,801565.359603895
14,423822.854740312,376271.01833189,800093.873072202
14.2,413546.169460179,385162.49178144,798708.661241619
14.4,403200.666185794,394250.805086174,797451.471271968
14.6,392801.722297307,403540.808828777,796342.531126084
14.8,382360.810112372,413033.619342335,795394.429454706
15,371889.401948644,422730.352959929,794619.754908573
15.2,361393.39369643,432609.630100047,794003.023796477
15.4,350878.467369897,442649.208381572,793527.67575147
15.6,340359.93991349,452865.713780317,793225.653693808
15.8,329848.190165273,463255.85141373,793104.041579003
16,319353.596963308,473816.32639926,793169.923362568
16.2,308886.836559075,484541.675503731,793428.512062806
16.4,298466.856611506,495366.131181591,793832.987793097
16.6,288099.754351839,506317.614441535,794417.368793375
16.8,277796.618236834,517387.656787245,795184.275024079
17,267568.536723247,528567.789722404,796136.326445652
17.2,257426.598267839,539849.544750695,797276.143018534
17.4,247389.351053934,551186.814406197,798576.16546013
17.6,237470.106964466,562559.911621838,800030.018586304
17.8,227677.566090576,573972.418694336,801649.984784913
18,218023.852737549,585410.640625996,803434.493363546
18.2,208521.091210669,596860.882419124,805381.973629792
18.4,199179.319019948,608305.470864441,807484.789884389
18.6,190003.087767833,619707.489248237,809710.577016069
18.8,181011.574816653,631055.871111632,812067.445928285
19,172217.014507921,642329.539535146,814546.554043067
19.2,163631.706174826,653506.602949647,817138.309124473
19.4,155268.01414224,664564.355136351,819832.369278591
19.6,147138.367726713,675479.275226825,822617.642953538
19.8,139255.261236475,686227.027702985,825482.28893946
20,131631.253971435,696782.462397096,828413.716368531
20.2,124229.463069613,707174.851505441,831404.314575054
20.4,117082.837205848,717354.811387478,834437.648593326
20.6,110197.404056427,727302.253048415,837499.657104842
20.8,103578.30303518,736997.336425695,840575.639460875
21,97230.0804245651,746420.141100023,843650.221524588
21.2,91156.6893756709,755550.666295363,846707.355671034
21.4,85335.4394887347,764421.533822991,849756.973311725
21.6,79774.9619699438,773000.718015343,852775.679985286
21.8,74475.9662401949,781270.939543625,855746.90578382
22,69435.3452029623,789221.359996744,858656.705199707
22.2,64648.9928094086,796841.88162852,861490.874437929
22.4,60111.8040583844,804123.147357679,864234.951416063
22.6,55822.0913696378,811089.920675895,866912.012045533
22.8,51772.8206717605,817734.846096797,869507.666768557
23,47955.6813034229,824049.210353569,872004.891656992
23.2,44362.5117672355,830033.718556327,874396.230323563
23.4,40984.2337709054,835690.437443639,876674.671214544
23.6,37810.8522272362,841022.795382522,878833.647609758
23.8,34841.4085217753,846036.731776115,880878.140297891
24,32069.2575394859,850738.996848326,882808.254387812
24.2,29481.1740202971,855137.048445377,884618.222465674
24.4,27067.3581709344,859240.207488208,886307.565659142
24.6,24817.4947128768,863059.202869625,887876.697582501
24.8,22723.9315477599,866602.570637564,889326.502185324
25,20782.9719297108,869875.190212291,890658.162142002
