time,S,R,T
0,7500,22500,30000
0.2,8727.59685076926,25465.8642123545,34193.4610631237
0.4,10139.767562481,28788.3935915732,38928.1611540542
0.6,11767.5933970264,32517.4697483106,44285.0631453371
0.8,13646.1702498715,36705.4752403052,50351.6454901768
1,15813.6359463963,41403.9159604811,57217.5519068774
1.2,18303.2831703201,46662.0985250578,64965.3816953779
1.4,21163.4655794388,52540.3736928441,73703.8392722829
1.6,24438.971450972,59096.425300316,83535.396751288
1.8,28173.0396092789,66385.8401686561,94558.879777935
2,32431.7446731322,74477.5687121473,106909.313385279
2.2,37257.4066022456,83427.2616021875,120684.668204433
2.4,42714.2068251991,93291.8875966795,136006.094421879
2.6,48858.1781464382,104129.960210608,152988.138357046
2.8,55741.249993798,115989.550320245,171730.800314043
3,63414.0839001673,128894.59131825,192308.675218417
3.2,71931.8204639285,142901.548353924,214833.368817852
3.4,81280.616134167,157929.546660261,239210.162794428
3.6,91518.8416058205,174033.41621222,265552.25781804
3.8,102691.708175036,191243.257891542,293934.966066578
4,114770.439753891,209479.710583759,324250.15033765
4.2,127678.186505286,228593.654751062,356271.841256348
4.4,141455.275228891,248606.002475244,390061.277704134
4.6,155953.66638776,269300.882706277,425254.549094036
4.8,171072.616738554,290519.113705503,461591.730444058
5,186790.675290778,312196.553384683,498987.228675461
5.2,202823.114694626,334002.804523449,536825.919218075
5.4,219082.515093744,355800.396709261,574882.911803006
5.6,235454.576546143,377428.970939792,612883.547485935
5.8,251711.85079939,398665.452375389,650377.303174779
6,267738.557863857,419340.308941632,687078.866805489
6.2,283386.135553743,439288.174544531,722674.310098274
6.4,298511.113980682,458399.484576127,756910.598556809
6.6,312962.632667511,476483.688224691,789446.320892201
6.8,326735.931390821,493574.554421571,820310.485812393
7,339830.068404462,509711.095461252,849541.163865714
7.2,352041.486466301,524654.101050824,876695.587517125
7.4,363263.669721811,538297.613814747,901561.283536557
7.6,373522.211618038,550694.905790536,924217.117408574
7.8,383014.936397764,562106.836280106,945121.772677869
8,391585.08288265,572366.887952456,963951.970835106
8.2,399236.174574348,581498.289158485,980734.463732834
8.4,406221.348894766,589792.935667414,996014.28456218
8.6,412463.244116748,597186.996480319,1009650.24059707
8.8,417995.49453452,603736.109153871,1021731.60368839
9,422946.655123694,609574.680645386,1032521.33576908
9.2,427353.143447558,614760.658191917,1042113.80163948
9.4,431260.894138903,619359.886717826,1050620.78085673
9.6,434717.761825883,623422.755625598,1058140.51745148
9.8,437773.346203796,627005.211333882,1064778.55753768
10,440483.053142185,630181.689523648,1070664.74266583
10.2,442881.881884803,632993.338959839,1075875.22084464
10.4,444978.722496835,635445.332826849,1080424.05532368
10.6,446833.478366569,637613.135065617,1084446.61343219
10.8,448478.861631435,639535.775214401,1088014.63684584
11,449870.856702561,641156.251469681,1091027.10817224
11.2,451089.82660882,642573.232554431,1093663.05916325
11.4,452167.836933346,643824.938788652,1095992.775722
11.6,453136.953259271,644949.590492345,1098086.54375162
11.8,454015.122895467,645968.38004961,1099983.50294508
12,454726.350409794,646789.196267731,1101515.54667753
12.2,455353.459459422,647511.478367489,1102864.93782691
12.4,455916.824504213,648159.346100075,1104076.17060429
12.6,456436.820004027,648756.919216681,1105193.73922071
12.8,456919.118504403,649310.888657599,1106230.007162
13,457296.992599885,649742.11674057,1107039.10934045
13.2,457632.17848755,650123.756688257,1107755.93517581
13.4,457935.207821407,650468.259812071,1108403.46763348
13.6,458216.612255464,650788.077423424,1109004.68967889
13.8,458476.918089609,651083.865605157,1109560.78369477
14,458679.311295507,651312.260238434,1109991.57153394
14.2,458857.074702194,651512.533805256,1110369.60850745
